wm_food_spu_id	wm_food_spu_name	price	category	ingredients	taste	stand_food_id	stand_food_name
0	a22084-de2424-11949-361622-893740-5f1782-b43550-f91501-f81893-193506	32.0	[0]	NULL	NULL	NULL	NULL
1	a51005-4a2318	8.0	[1]	[0]	[0]	0	a51005-4a2318
2	4a3834-c6828-121306-0a2002-66812-cd3847-d72063-272349	8.0	[2]	NULL	NULL	NULL	NULL
3	553155-f63166-893740-2d3725	45.0	[3]	[1, 2, 3, 4, 5, 6, 7]	NULL	1	553155-f63166-893740-2d3725
4	2c1019-a9774	19.0	[4]	[8]	NULL	NULL	NULL
5	a11519-fc3373-621274	17.0	[5]	NULL	NULL	NULL	NULL
6	6f3045-141126-6f1612-3a316	10.0	[6]	[9]	NULL	2	141126-6f1612-3a316
7	d82616-60172-6d3428-e1869	3.58	[7]	NULL	NULL	3	d82616-60172-6d3428-e1869
8	021794-66151-a33280-fc3373-1a564-6d3428-e1869-6f3045-4a2318	56.0	[8, 9]	[10, 11]	[1]	4	a33280-fc3373-6f3045-4a2318-1a564-6d3428-e1869
9	623009-1c925-fc3373-3a316-ef1573-b43550	22.0	[10]	[12, 13]	NULL	5	623009-1c925-fc3373-3a316-ef1573-902437-b43550
10	341620-233398-611678-e1869	8.0	[6]	[14, 2, 3, 15, 16]	[0]	6	341620-233398-611678-e1869
11	66812-323291-fc3373-3a316	42.0	[11, 12, 13]	[17, 2, 3, 4, 18, 19, 5, 6, 7, 13, 20]	[2]	7	66812-323291-fc3373-3a316
12	021794-66151-323291-4a2318-1c3103-1c925	58.0	[8, 9]	[21, 22]	[1]	8	021794-66151-323291-4a2318-1c3103-1c925
13	411745-6d3428-121306-84752-572883-101946-3d2304-ae786-272349	4.0	[2]	NULL	NULL	NULL	NULL
14	b32861-de2424-2c1019-11949-b43550-121306-8a2234-863895-272349	20.5	[10]	[23, 24]	[3]	9	b32861-de2424-2c1019-11949-b43550
15	111899-1c925-c53116-922125-b2193	68.0	[14]	[22]	[3]	10	c53116-922125-b2193
16	5e1438-0c3415-3a1157-d6384-d13754-fc3373-641271-121306-f2255-661087-6f1712-87965-272349	9.0	[15, 16, 17]	NULL	NULL	NULL	NULL
17	9f1640-552471-fc3373-3a316	30.0	[11, 12, 13]	[17, 2, 25, 4, 5, 6, 26]	NULL	11	9f1640-552471-fc3373-3a316
18	0a2002-212384-fa3821-87965-3b289	11.0	[18]	NULL	NULL	NULL	NULL
19	8a2234-141126-8b3036-121725	20.0	[19]	[27, 28]	[4]	12	8b3036-121725
20	e53048-fe1605-fc3373-16978-d92985-d92985-653615	16.0	[20]	NULL	NULL	NULL	NULL
21	b42747-1d1611-021922-2c1019-fc3373-c22859	13.99	[21]	[24, 29]	[5]	13	b42747-1d1611-021922-2c1019-fc3373-c22859
22	341620-4a2318-953430-141126-43819	28.0	[22]	[30, 31]	[6]	14	341620-4a2318-953430-141126-43819
23	f71647-43819-831995-f82023	3.0	[23]	NULL	NULL	NULL	NULL
24	a33280-fc3373-002487-323291-a62740-d62216-1c925	27.0	[24]	[2, 32]	[1]	15	323291-fc3373-d82616-d62216
25	6f3045-43819-b43550	7.0	[25]	[27]	[3]	16	43819-b43550
26	812352-181057-792305-35715	58.0	[26]	NULL	NULL	NULL	NULL
27	553155	0.0	[18]	NULL	NULL	NULL	NULL
28	6d2875-fc3373-b43550-bd319-e41314	24.0	[0]	NULL	NULL	NULL	NULL
29	11949-361622-a13945-b43550-bd319-e41314	28.0	[0]	NULL	NULL	NULL	NULL
30	141126-6f1612-87314	6.0	[27, 28]	[33]	NULL	17	141126-6f1612-87314
31	021193-1c3103-1c925	3.5	[5]	[2, 18]	NULL	NULL	NULL
32	361622-fc3373-12495-823574	4.0	[15, 16, 17]	[34]	NULL	NULL	NULL
33	de1296-f61200-633554	3.5	[29]	[35]	NULL	NULL	NULL
34	402923-a22084-102320-2c1019-df2800-c23605-912443-76305-d72063-121306-c23605-272349	25.0	[30]	[36]	[7]	18	c94046-623009-df2800-c23605-912443-76305-d72063
35	212384-fa3821	1.0	[15, 16, 31]	[37]	NULL	NULL	NULL
36	363247-042150-30514-de2424-2c1019-81588-243077-cb1524-ca2010	12.0	[32, 33]	[24]	[7]	19	363247-042150-30514-de2424-2c1019-81588-243077-cb1524-ca2010
37	a22084-de2424-fc3373-ef1573-b43550	23.0	[10]	[38]	NULL	20	a22084-de2424-fc3373-43819-b43550
38	f34-f51944-a92470-2c3454	15.0	[34, 35]	[39]	NULL	21	f34-f51944-a92470-2c3454
39	011721-2e2108-293328-671790-2e1710-8b3036-7f4028	14.0	[36]	[40, 22, 16]	[8]	22	8b3036-7f4028
40	792828-68558-141126-c4699	6.0	[37]	[41]	NULL	23	792828-68558-141126-c4699
41	8a2234-863895-43819-b43550	3.0	[25]	[27]	[3]	16	43819-b43550
42	fc3037-9f1640-8a2234-5f730-16978-d92985-641271	38.8	[15, 16, 17]	NULL	NULL	NULL	NULL
43	082380-8d1398-141126-6f1612	30.0	[11, 12, 13]	[2, 15, 20]	[9]	24	082380-8d1398-141126-6f1612
44	002989-553155-cf2679-812352-43819	18.0	[6]	[17, 2, 42, 3]	[10]	25	002989-553155-cf2679-812352-43819
45	a22084-141126-191362-121306-16978-dc2884-272349-1b1099	7.0	[38]	NULL	NULL	26	a22084-141126-191362
46	323291-5d709-821595-43819-621274-1b1099	9.5	[15, 16, 39]	NULL	NULL	27	323291-5d709-821595-43819-621274
47	002808-e93918-402923-6a3233-752762	19.0	[6]	[43]	NULL	28	002808-e93918-402923-6a3233-752762
48	753219-742627-8a2234-c23605	38.0	[11, 12, 13]	[2]	[1]	29	753219-742627-8a2234-c23605
49	c31718-021794-2043-141126-a0318	28.0	[40]	[38, 44, 2, 45, 20]	[8]	30	c31718-021794-2043-141126-a0318
50	43819-6d3428-fc3373	56.0	[41]	[38, 2, 6, 7, 27]	[3]	31	43819-6d3428-fc3373
51	111899-c53116-b2193-fc3373-bd3656-251116-121306-ed1709-dc3924-272349-121306-011721-582418-272349	89.0	[42]	[46, 47, 48, 49, 50]	[11]	32	111899-c53116-b2193-fc3373-bd3656-251116
52	79217-7372-1b592-1f2100-87965-7372-121306-84752-572883-101946-ae786-272349	6.98	NULL	NULL	NULL	NULL	NULL
53	e21103-2d2087-121306-341620-5d709-233398-272349-8b3036-7f4028	16.8	[36]	[40, 16]	[10]	33	e21103-2d2087-8b3036-7f4028
54	de2424-d71618-f63938-fc3373	7.0	[43, 44]	[2]	[1]	34	fc3373-f63938-d71618
55	8a2234-a33280-5f1172-602975-051975-051975-f91991	15.0	[45]	[51]	[4]	35	051975-051975-f91991-d72063-e33426
56	303211-b2193-11995	17.0	[46]	[52, 53]	NULL	36	b2193-11995
57	2c1019-dc3924-ea2006-ea2006-ea2006-ea2006-ea2006-16978-9d1564-641271	45.0	[15, 16, 17]	[54]	NULL	NULL	NULL
58	c31718-021794-66812-db2324	36.0	[40]	[55, 56]	[8]	37	c31718-021794-66812-db2324
59	ff3193-8d1754-32254-c23605-fc3373	38.0	[11, 12, 13]	[44, 34]	[12]	38	ff3193-8d1754-c23605-fc3373
60	af3837-042150-d81534-66151-b43550-653654-772477	38.0	[47]	[57]	NULL	39	af3837-042150-d81534-66151-b43550
61	6e2940-141126-cf2679	3.98	[48]	NULL	NULL	NULL	NULL
62	9f1640-de2424-d13754-fc3373	82.0	[11, 12, 13]	NULL	NULL	40	a22084-de2424-d13754-fc3373
63	c63006-e1869-1c925	23.9	[49]	[44, 2]	[3]	41	c63006-e1869-1c925
64	8a2234-c23605-6b3322-611678-7f4028	35.0	[11, 12, 13]	[16]	[13]	42	8a2234-c23605-6b3322-611678-7f4028
65	411745-6d3428-121306-84752-572883-101946-3d2304-ae786-272349	4.0	[7]	NULL	NULL	NULL	NULL
66	323291-0b1820-191362-901015-16978-772477	8.5	[38]	[58, 36]	NULL	43	323291-0b1820-191362
67	121306-082380-233398-272349-4a3834-c6828-6d3428-3a316-a13945-121306-d686-de2424-d71618-272349	39.9	[50, 51, 52]	[59]	[9]	44	4a3834-c6828-6d3428-3a316-a13945
68	e21103-2d2087-69229-55455-831995-6e4044-d71618-f91501-ff3524-421264-f91501-dd3028-81588-f82023	24.6	[53]	[60, 61]	NULL	45	ff3524-421264-dd3028-81588-6e4044-d71618
69	f81893-193506-121306-ed3568-3d2304-bd319-e41314-84752-572883-101946-ae786-b42747-272349	4.0	[54]	NULL	NULL	46	f81893-193506
70	a93922-11949-ec2941-072768-3b868-bd3656-251116-552153-1e1978-d6595	73.0	[42]	[48]	[14]	47	013607-251116
71	233398-322524-e33426-121306-84752-572883-101946-ae786-b74042-272349	1.0	[18]	NULL	NULL	NULL	NULL
72	a54081-3c1399-4b1791-4b1791-66812-7f4028-121306-742627-831995-271567-f81036-272349	19.0	[6]	[62]	NULL	NULL	NULL
73	da270-3c1399-0a3608-243077-d72063-e33426	19.0	[55, 56]	[63, 64]	[4]	48	d72063-e33426
74	6b3322-423697-11949-361622-f91501-b51826-b51826-4a2318-f91501-141126-7f4028-f91501-43819-b43550	39.9	[0]	[65, 26]	NULL	NULL	NULL
75	a22084-de2424-2f3404-3e1504-002808-b43550	140.0	[57]	NULL	NULL	49	a22084-de2424-3e1504-002808-b43550
76	43819-b43550-121306-6f178-cf2679-323291-43819-272349	4.0	[25]	[27]	[3]	16	43819-b43550
77	341620-233398-2043-141126-3a316-f91501-893740-2d3725-fc3373-f91501-43819-b43550	36.0	[0]	[45]	NULL	NULL	NULL
78	be2895-002989-a43214	8.0	[58]	[66]	NULL	50	be2895-002989-a43214
79	a22084-de2424-623009-1c925-f91501-323291-43819-b43550-f91501-e3267-64368-2c1019-f91501-f81893-193506	37.9	[0]	[12]	NULL	NULL	NULL
80	cb2376-66812-d82616-d62216-121306-84752-572883-101946-ae786-272349	32.0	[24]	[67, 68, 3]	[1]	51	cb2376-66812-d82616-d62216
81	831995-7f4028-2c1019-b43550-f91501-7b3242-b43550-4a2318-f91501-251491-341620-3c304	38.99	[0]	NULL	NULL	NULL	NULL
82	141582-042150-323291-f82023	48.0	[23]	[69, 70]	[9]	52	141582-042150-323291-f82023
83	102277-a92470-253866	6.0	[54]	NULL	NULL	53	102277-a92470-253866
84	b0540-a7398-e2458-4b644-a92470-262624	24.0	[59]	[71]	NULL	54	e2458-4b644-a92470
85	a22084-de2424-a43031-66812	66.0	[11, 12, 13]	[17, 2, 3, 6, 72]	[1]	55	a22084-de2424-a43031-66812
86	4a3834-81588-002989-612513-6d3428-121306-802635-6d3428-272349	36.0	[50, 51, 52]	[73]	NULL	NULL	NULL
87	2c1019-11949-341600-57641-bd319-e41314	72.0	[0]	[23]	NULL	NULL	NULL
88	c43900-412242-c31718-c23605-af3837-fc3373	68.0	[11, 12, 13]	[74, 75, 76]	[13]	56	c43900-412242-c31718-c23605-af3837-fc3373
89	c31718-021794-e52645-7c3361-e33426-4a2318	28.8	[40]	[77, 14, 78, 38, 2]	[13]	57	c31718-021794-e52645-7c3361-e33426-4a2318
90	202317-48801-6e2940-243077-4a2318	18.0	[11, 12, 13]	[2, 79, 80]	[7]	58	202317-0f2811-6e2940-243077-4a2318
91	4a2318-b62021-1c925	4.0	[45]	[1, 35, 81, 2, 82, 32, 31, 83, 84, 85, 49]	[3]	59	4a2318-b62021-1c925
92	e52645-123573-b2193-1c3103-a13945	28.0	[60]	NULL	[3]	60	b2193-fc3373-1c3103-a13945
93	11995-f63581-743496-743496-f51944-262624-653654-231660-971769	16.0	NULL	NULL	NULL	NULL	NULL
94	0a2002-141126-6f1612-121306-101946-fb748-84752-572883-272349	2.0	[2]	NULL	NULL	NULL	NULL
95	f51944-e93918-121306-84752-572883-101946-ae786-272349	3.0	[61]	[39]	NULL	61	f51944-e93918
96	a81828-2e1710-8a2234-c23605-fc3373	39.0	[11, 12, 13]	[38, 2, 6, 86, 80]	[13]	62	c23605-fc3373
97	3e541-6f3202-251491-341620-212715-1f2100-742627-121306-b7307-231660-971769-272349	39.0	[62]	[87]	[6]	63	212715-1f2100-251491-341620
98	e33146-1d283-e33426-582418-152058-2b3552-dd1152-5b293-a53996-7372-252735-1c925-16978-7372-121306-101946-84752-2f1084-272349	12.8	[63]	NULL	NULL	NULL	NULL
99	e61012-141582-8b3036-d72063-121306-101946-38958-373655-e62205-272349	19.0	[49]	[10]	[9]	64	e61012-141582-8b3036-d72063
100	43819-b43550	3.0	[25]	[27]	[3]	16	43819-b43550
101	50882-912577-2c1019-f42330	39.0	[11, 12, 13]	[17, 14, 88, 2, 42, 3, 5, 6, 7, 15, 16]	NULL	65	50882-912577-2c1019-f42330
102	c31718-021794-fa1551-9f3414-141126-6f1612	36.0	[40]	[38, 44, 20, 89, 90]	NULL	66	c31718-021794-fa1551-302738-141126-6f1612
103	8b3036-4a2318-121306-ca3937-d92015-272349	12.0	[6]	[42, 16]	NULL	67	8b3036-4a2318
104	de2424-623009-1c925-f91501-72590-1c925-633554-f91501-f81893-713861-f81893-193506-bd319-e41314	27.0	[0]	[12]	NULL	NULL	NULL
105	c23605-403983-8d3237-d72063	15.0	[30]	[18, 91]	[3]	68	c23605-403983-8d3237-d72063
106	a53996-772477-a53996-5b1686-323291-233398-2c1019-a9774-1b1099	20.0	[64]	[8]	[8]	69	323291-233398-2c1019-a9774
107	792828-342412-a93922-f71647-c22442-d72077-11995-262624-121306-a92470-272349-69229-971769-582418-1b1099	29.0	NULL	NULL	NULL	NULL	NULL
108	c53116-fa3821-322524	3.0	[15, 16, 31]	NULL	NULL	NULL	NULL
109	7372-e01010-d82137-43887-bd319-e41314-a43251	54.0	[0]	NULL	NULL	NULL	NULL
110	dd3028-c53116-b2193-fc3373-d63854-243077-c22859	10.0	NULL	NULL	NULL	NULL	NULL
111	c31718-021794-66812-731761	42.0	[40]	[92, 93, 2]	[8]	70	c31718-021794-66812-731761
112	d686-441442-e41314-8b776-901015-08992-912577-84752	0.0	[65]	NULL	NULL	NULL	NULL
113	d686-441442-e41314-8b776	0.0	[65]	NULL	NULL	NULL	NULL
114	b2193-47115-e33426	10.0	[55, 56]	[94, 63, 2, 52, 95]	[4]	71	b2193-47115-e33426
115	922125-b2193-bd319-e41314	37.4	[0]	NULL	NULL	NULL	NULL
116	64662-66812-c22859	4.2	[15, 16, 66]	[18, 96]	NULL	72	64662-66812-c22859
117	912443-f92329-d32365-633554	2.0	[67, 68]	[97, 52, 98, 36, 99, 28]	NULL	73	912443-f92329-d32365-633554
118	fc3373-3a316-c23605-912443-76305-d72063	28.0	[30]	[1, 44, 2, 13, 89]	[1]	74	912443-76305-fc3373-3a316-c23605-d72063
119	341600-a63360-8a2234-342412-981676-b43550-84752-e01010-bd319-e41314	49.8	[0]	[100, 101]	NULL	NULL	NULL
120	69229-e01010-5e3824-193506-ca2010-43887-e41314	153.0	[69]	NULL	NULL	NULL	NULL
121	c53116-5a1952-fa2116-7f4028	3.0	[15, 16, 17]	NULL	NULL	NULL	NULL
122	402923-0c3415-cf2679	10.0	[2]	[102]	NULL	NULL	NULL
123	NULL	109.0	NULL	NULL	NULL	NULL	NULL
124	173238-f51944-b12072-b12072-a93922-44463-0c3415-323291-f72290-342412-262624-121306-a92470-272349	25.0	[59]	NULL	NULL	NULL	NULL
125	df1770-5d2360-612513-002989-b31-2c3454-2d263-141126-6f1612	18.0	[64]	[103]	NULL	NULL	NULL
126	df2800-c23605-b43550	16.0	[70, 71]	[2, 18, 91]	[1]	75	df2800-c23605-b43550
127	66812-323291-fc3373-3a316	46.0	[11, 12, 13]	[17, 2, 3, 4, 18, 19, 5, 6, 7, 13, 20]	[2]	7	66812-323291-fc3373-3a316
128	661087-323291-262624-df2800	3.0	[8, 9]	[7]	[15]	NULL	NULL
129	342036-c02692-141126-6f1612-87314	5.3	[27, 28]	[19, 33]	[15]	76	342036-c02692-141126-6f1612-87314
130	44987-2c1019-3a316-59550-d92985-2522-be2952-0a2002-d72063-cd3847-121306-84752-572883-101946-ae786-b74042-272349	5.99	[18]	NULL	NULL	NULL	NULL
131	3c2245-b2193-b83350-b83350-641271-121306-16978-d92985-641271-272349	20.0	[15, 16, 17]	NULL	NULL	NULL	NULL
132	f7980-1c925-d72063-121306-912443-76305-d72063-272349	22.0	[72]	[45]	[0]	77	591950-5a537-d72063
133	60442-1b955-12963-12963-11995-ef1573-121306-a92470-272349	18.0	NULL	NULL	NULL	NULL	NULL
134	69229-322524-2c1019-df2800-c23605-912443-76305-d72063	20.0	[30]	NULL	NULL	NULL	NULL
135	1a1215-e72968-231660-a23694-4a2318	32.0	[6]	NULL	NULL	78	a23694-4a2318
136	8a2234-1e1440-4a2318	2.0	[1]	[2, 18, 80]	[1]	79	8a2234-1e1440-4a2318
137	c53116-2c1019-871690-ea2006-ea2006-99196-ea2006-ea2006-c22442-dc3924-e14039-dc3924	4.0	[15, 16, 17]	[104]	NULL	NULL	NULL
138	d63854-2e1710-031708-5c1479-c3470-f91501-981353-2f3404-cf2679-262624	38.8	[0]	NULL	NULL	NULL	NULL
139	d71277-271567-d13754-30514-881252-661087-641271	25.0	[15, 16, 17]	NULL	NULL	NULL	NULL
140	b42747-1d1611-021922-2c1019-fc3373-641271-121306-16978-772477-9d1564-641271-272349	17.5	[15, 16, 17]	NULL	[5]	80	b42747-1d1611-021922-2c1019-fc3373-641271
141	6f3045-a82502-5e2725-39147-373655-0c3415	28.0	[8, 9]	[1, 7, 80, 89]	[3]	81	373655-0c3415
142	6a3579-341600-a63360-2c1019-11949-b43550	29.0	[10]	[23, 101]	[16]	82	341600-a63360-2c1019-11949-b43550
143	bd3159-f42330-11995-262624-ea2006-901015-ea2006-9b2653-971769	12.0	[73]	[105]	NULL	83	bd3159-f42330-11995-262624
144	60442-322524-2c1019-5b1686	15.8	[64]	[2, 5, 6, 48, 70]	[7]	84	60442-322524-2c1019-5b1686
145	60442-322524-b2193-8a2234-682499-b43550	48.0	[10]	[70]	[3]	85	60442-322524-b2193-682499-ef1573-902437-b43550
146	c94046-623009-c23605-df2800	33.0	[11, 12, 13]	[2]	NULL	86	ba580-623009-c23605-df2800
147	021193-b2193-11949	3.0	[48]	NULL	NULL	NULL	NULL
148	121306-713861-ef3408-df482-d93934-272349-6f178-cf2679-323291-6f3045-43819-b43550	6.0	[25]	NULL	NULL	NULL	NULL
149	0f2663-f32176-df2800-d71618-121306-6a3579-272349	9.0	[53]	NULL	NULL	NULL	NULL
