user_id	avg_pay_amt	avg_pay_amt_weekdays	avg_pay_amt_weekends
0	[36,49)	[29,36)	[36,49)
1	[49,65)	[49,65)	>=65
2	<29	<29	<29
3	[49,65)	>=65	[49,65)
4	[36,49)	未知	[49,65)
5	[36,49)	[36,49)	[36,49)
6	>=65	>=65	>=65
7	>=65	>=65	>=65
8	[36,49)	[36,49)	[29,36)
9	<29	<29	<29
10	<29	<29	<29
11	[49,65)	[49,65)	[49,65)
12	[36,49)	[36,49)	[36,49)
13	<29	<29	<29
14	[36,49)	[29,36)	[36,49)
15	<29	<29	[29,36)
16	<29	未知	<29
17	[36,49)	未知	[49,65)
18	[49,65)	[36,49)	[36,49)
19	[29,36)	[29,36)	[36,49)
20	>=65	>=65	>=65
21	[29,36)	[29,36)	[29,36)
22	>=65	>=65	>=65
23	>=65	>=65	>=65
24	<29	<29	<29
25	[36,49)	[36,49)	[36,49)
26	>=65	>=65	>=65
27	>=65	>=65	>=65
28	<29	<29	<29
29	>=65	>=65	>=65
30	>=65	>=65	>=65
31	[49,65)	[36,49)	<29
32	[36,49)	未知	[49,65)
33	[36,49)	[36,49)	[36,49)
34	>=65	[49,65)	>=65
35	>=65	>=65	>=65
36	>=65	>=65	[49,65)
37	[36,49)	[36,49)	[36,49)
38	[29,36)	[29,36)	<29
39	<29	<29	<29
40	[29,36)	[29,36)	[36,49)
41	[29,36)	[29,36)	[29,36)
42	[29,36)	[29,36)	<29
43	[49,65)	[49,65)	[49,65)
44	<29	<29	<29
45	[49,65)	[49,65)	[49,65)
46	[49,65)	>=65	[49,65)
47	[36,49)	[29,36)	[36,49)
48	[29,36)	[29,36)	<29
49	[49,65)	[49,65)	[49,65)
50	>=65	>=65	[49,65)
51	>=65	>=65	>=65
52	>=65	>=65	>=65
53	[29,36)	[29,36)	[29,36)
54	>=65	>=65	>=65
55	[29,36)	[29,36)	<29
56	>=65	>=65	>=65
57	[29,36)	[29,36)	[36,49)
58	[29,36)	<29	[29,36)
59	[29,36)	[29,36)	[36,49)
60	<29	<29	<29
61	[29,36)	<29	[29,36)
62	<29	<29	<29
63	>=65	>=65	>=65
64	>=65	>=65	[49,65)
65	<29	<29	<29
66	[36,49)	[36,49)	[36,49)
67	[36,49)	[36,49)	[36,49)
68	[49,65)	[49,65)	[49,65)
69	[36,49)	[36,49)	[36,49)
70	[36,49)	未知	[49,65)
71	<29	<29	<29
72	<29	<29	<29
73	<29	<29	<29
74	[29,36)	[29,36)	<29
75	>=65	>=65	未知
76	[36,49)	未知	[49,65)
77	[29,36)	[36,49)	<29
78	[49,65)	[49,65)	>=65
79	[29,36)	[29,36)	[36,49)
80	[29,36)	[29,36)	[29,36)
81	<29	<29	<29
82	>=65	>=65	[49,65)
83	>=65	[49,65)	>=65
84	>=65	>=65	>=65
85	>=65	>=65	>=65
86	[29,36)	<29	[36,49)
87	[36,49)	[36,49)	[36,49)
88	[36,49)	[36,49)	[36,49)
89	[29,36)	[29,36)	[29,36)
90	[29,36)	[29,36)	<29
91	<29	<29	<29
92	[49,65)	[36,49)	[29,36)
93	<29	<29	未知
94	[29,36)	[36,49)	[29,36)
95	[29,36)	<29	[29,36)
96	<29	<29	<29
97	[49,65)	[49,65)	[49,65)
98	[36,49)	[36,49)	[36,49)
99	[36,49)	[36,49)	[36,49)
100	>=65	>=65	>=65
101	[29,36)	[29,36)	[29,36)
102	[49,65)	>=65	[49,65)
103	[49,65)	[49,65)	>=65
104	[36,49)	[36,49)	[36,49)
105	[49,65)	[36,49)	[36,49)
106	<29	<29	<29
107	>=65	>=65	>=65
108	<29	<29	<29
109	[36,49)	<29	[49,65)
110	[36,49)	[29,36)	[36,49)
111	>=65	>=65	>=65
112	>=65	>=65	>=65
113	[49,65)	[49,65)	[49,65)
114	[36,49)	[36,49)	[29,36)
115	<29	<29	<29
116	<29	<29	<29
117	[49,65)	[49,65)	[49,65)
118	[36,49)	[36,49)	[29,36)
119	[49,65)	[49,65)	[49,65)
120	<29	<29	<29
121	[36,49)	[36,49)	[36,49)
122	[36,49)	[36,49)	[36,49)
123	[29,36)	[29,36)	[29,36)
124	<29	<29	<29
125	[36,49)	[36,49)	[36,49)
126	<29	<29	<29
127	>=65	[49,65)	>=65
128	[36,49)	[36,49)	[36,49)
129	>=65	>=65	>=65
130	>=65	>=65	[49,65)
131	[49,65)	[49,65)	>=65
132	[36,49)	[36,49)	[36,49)
133	[36,49)	[36,49)	[29,36)
134	<29	<29	<29
135	>=65	>=65	>=65
136	[29,36)	[29,36)	[29,36)
137	>=65	>=65	>=65
138	[49,65)	[49,65)	[49,65)
139	[49,65)	[49,65)	[49,65)
140	<29	<29	<29
141	>=65	>=65	[49,65)
142	[29,36)	[29,36)	[29,36)
143	<29	[29,36)	<29
144	[36,49)	[36,49)	[36,49)
145	[36,49)	[29,36)	[36,49)
146	[36,49)	[29,36)	[36,49)
147	[49,65)	[49,65)	>=65
148	>=65	[36,49)	[36,49)
149	[36,49)	未知	[49,65)
150	<29	<29	<29
151	[29,36)	[29,36)	[36,49)
152	[29,36)	[29,36)	[29,36)
153	>=65	>=65	>=65
154	[29,36)	[29,36)	[29,36)
155	[29,36)	[29,36)	<29
156	<29	<29	<29
157	<29	<29	<29
158	[36,49)	[36,49)	[36,49)
159	>=65	>=65	>=65
160	<29	<29	<29
161	[36,49)	[36,49)	[36,49)
162	[29,36)	[29,36)	[29,36)
163	[49,65)	[49,65)	[49,65)
164	>=65	>=65	[49,65)
165	[36,49)	<29	[36,49)
166	[29,36)	[29,36)	[29,36)
167	[29,36)	[29,36)	[49,65)
168	[29,36)	[29,36)	[29,36)
169	[36,49)	未知	[49,65)
170	>=65	[49,65)	>=65
171	<29	<29	<29
172	[36,49)	[36,49)	[36,49)
173	<29	<29	<29
174	>=65	>=65	>=65
175	[29,36)	[29,36)	[36,49)
176	[29,36)	[29,36)	[36,49)
177	>=65	>=65	[49,65)
178	>=65	>=65	>=65
179	[49,65)	[49,65)	>=65
180	[36,49)	[36,49)	[36,49)
181	>=65	>=65	>=65
182	<29	<29	<29
183	[49,65)	未知	[49,65)
184	<29	<29	<29
185	[49,65)	未知	>=65
186	<29	<29	<29
187	[49,65)	未知	[49,65)
188	[36,49)	未知	未知
189	[36,49)	[36,49)	[36,49)
190	<29	<29	<29
191	>=65	>=65	>=65
192	<29	<29	<29
193	[29,36)	[29,36)	[29,36)
194	[49,65)	[49,65)	>=65
195	[49,65)	[49,65)	>=65
196	[36,49)	[36,49)	[36,49)
197	>=65	>=65	>=65
198	[29,36)	[29,36)	<29
