model,Recall@10,NDCG@10,MRR@10,HitRate@10,Recall@20,NDCG@20,MRR@20,HitRate@20,Coverage@20,ExposureGini,LongTailExposure@20
BPR-MF,0.12688888888888888,0.09675627736959286,0.11082275132275134,0.19666666666666666,0.16199999999999998,0.10681079012394484,0.11411159006398944,0.24333333333333335,0.1349938499384994,0.951645833578094,0.05922551252847381
ItemCF,0.07944444444444444,0.045352935233507856,0.05278835978835979,0.15666666666666668,0.13927777777777778,0.0631244997201239,0.058693290770690146,0.24333333333333335,0.5187576875768758,0.7819838746571068,0.6467101363366924
Ours-Balanced,0.3891111111111111,0.3285056240690135,0.37087301587301585,0.54,0.4096666666666667,0.3345928848756587,0.3723739052341994,0.5633333333333334,0.284440344403444,0.8769360347796803,0.42162162162162165
Ours-Full,0.38355555555555554,0.3254685330893569,0.3688492063492063,0.5333333333333333,0.4054761904761905,0.33204325002225793,0.3705275722299716,0.5633333333333334,0.2810578105781058,0.889012167379478,0.4288840262582057
Popular,0.02188888888888889,0.013524778376589141,0.01798148148148148,0.04666666666666667,0.047,0.02103707892000924,0.020904813796454664,0.09,0.006150061500615006,0.9952190189306825,0.0
Random,0.016277777777777776,0.00943382492717455,0.00992989417989418,0.03666666666666667,0.02972222222222222,0.013703957528652774,0.011614360098106229,0.06333333333333334,0.12300123001230012,0.8967646026802634,0.0
Repeat,0.398,0.33176088277112104,0.3696468253968254,0.5466666666666666,0.4062222222222222,0.33478014658622723,0.37010978835978836,0.5533333333333333,0.2570725707257073,0.9368983363078275,0.4700956937799043
Seq-Hybrid,0.40561111111111114,0.3390176205131229,0.3785224867724868,0.56,0.44405555555555554,0.3512969228864933,0.38093036266565683,0.5933333333333334,0.27398523985239853,0.9197563905701892,0.44107744107744107
Seq-Tripartite,0.4053888888888889,0.3402824590954333,0.38361375661375663,0.57,0.42661111111111116,0.3470215092461363,0.38444424094424096,0.5833333333333334,0.28413284132841327,0.8848043744439894,0.4274891774891775
Seq-xQuAD,0.4117777777777778,0.342971323832947,0.38426190476190475,0.57,0.4447222222222223,0.35375812330901496,0.3861744765955292,0.5966666666666667,0.2785977859778598,0.9140604108057907,0.4337748344370861
UserOnly,0.3988333333333334,0.3336012600076672,0.3730489417989418,0.5466666666666666,0.4287222222222222,0.34234451763094387,0.3747211274564216,0.5733333333333334,0.28413284132841327,0.8856740408881537,0.42424242424242425
