policy,recommender,rider_policy,assignment_mode,choice_model,n_seeds,completed_orders,completed_orders_std,completed_orders_ci95,total_orders,total_orders_std,total_orders_ci95,unassigned_orders,unassigned_orders_std,unassigned_orders_ci95,completion_rate,completion_rate_std,completion_rate_ci95,avg_eta,avg_eta_std,avg_eta_ci95,p95_eta,p95_eta_std,p95_eta_ci95,timeout_rate,timeout_rate_std,timeout_rate_ci95,on_time_rate,on_time_rate_std,on_time_rate_ci95,avg_rider_load,avg_rider_load_std,avg_rider_load_ci95,rider_load_std,rider_load_std_std,rider_load_std_ci95,rider_load_cv,rider_load_cv_std,rider_load_cv_ci95,active_rider_rate,active_rider_rate_std,active_rider_rate_ci95,rider_income_gini,rider_income_gini_std,rider_income_gini_ci95,merchant_exposure_gini,merchant_exposure_gini_std,merchant_exposure_gini_ci95,user_satisfaction,user_satisfaction_std,user_satisfaction_ci95,rider_speed_kmph,rider_speed_kmph_std,rider_speed_kmph_ci95,rider_service_minutes,rider_service_minutes_std,rider_service_minutes_ci95,avg_detour_minutes,avg_detour_minutes_std,avg_detour_minutes_ci95,enroute_pickup_share,enroute_pickup_share_std,enroute_pickup_share_ci95,platform_utility,platform_utility_std,platform_utility_ci95
Popular + Nearest,popular,nearest,greedy,mnl_softmax,10,81.4,4.550946177566936,2.8207056642699255,81.4,4.550946177566936,2.8207056642699255,0.0,0.0,0.0,1.0,0.0,0.0,59.057240841797125,3.6857141250828245,2.2844292821452257,112.75707536867344,7.592093490535618,4.705628297249989,0.5790774935324344,0.03690662828437955,0.02287496520262305,0.42092250646756557,0.03690662828437955,0.02287496520262305,0.7416666666666666,0.06961091158967592,0.0431452900023017,1.0718622716172148,0.03869225869595889,0.02398171039795455,1.0,0.0,0.0,0.3383333333333333,0.025519297950790783,0.01581702473934141,0.7571603720035439,0.016135754390307202,0.010001044185132731,0.9997313768515191,1.1702778228589004e-16,7.253457094217689e-17,0.45869099593772933,0.008428326642400112,0.005223930974557312,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.3909897943969741,0.010512413969046992,0.006515661682356824
UserOnly + MinETA,useronly,min_eta,greedy,mnl_softmax,10,89.9,7.680422442085389,4.760375148615449,89.9,7.680422442085389,4.760375148615449,0.0,0.0,0.0,1.0,0.0,0.0,41.54148647586432,1.9780871603908705,1.2260311240853112,64.1850962321204,6.19244542282345,3.8381174371916797,0.3473233071132728,0.049895362702220745,0.03092546620056932,0.6526766928867272,0.04989536270222075,0.030925466200569324,0.7491666666666668,0.07772319513329592,0.04817333543479816,0.7236242866644371,0.025756518399364516,0.01596405549665314,0.953918482390911,0.060933370363388764,0.03776689422834641,0.5816666666666668,0.04644789992461882,0.02878870663349829,0.5245837348822435,0.04138371028678138,0.025649889376814745,0.989977346545594,0.0005587526666677678,0.0003463184907711462,0.6382854858053603,0.03653703398901023,0.022645888285042923,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.5114859290964281,0.013741504334511682,0.008517072626130115
Seq-Tuned + MinETA,seq_tuned,min_eta,greedy,mnl_softmax,10,86.1,5.445691467165171,3.3752745402740527,86.1,5.445691467165171,3.3752745402740527,0.0,0.0,0.0,1.0,0.0,0.0,40.43871838927974,1.9521091064123846,1.2099297594141516,64.44620769817934,6.231549904528254,3.8623546460575624,0.2872465972919078,0.06605771704154047,0.04094299720490874,0.7127534027080922,0.0660577170415405,0.04094299720490876,0.7166666666666666,0.07607257743127308,0.047150271983819436,0.7051841492746749,0.01571482160246464,0.009740147340253056,0.9717986646106788,0.041305090272249295,0.02560116018695775,0.5691666666666667,0.03143924181537981,0.019486243960899798,0.5309488904435979,0.024308919404144706,0.015066824343813843,0.9894588140422664,0.0003890815278663075,0.0002411552294169378,0.659377174693957,0.03856826728027089,0.023904859722313525,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.533071625918509,0.019330734118922093,0.011981313137148715
Logistic-LTR + MinETA,learned_ltr,min_eta,greedy,mnl_softmax,10,93.2,6.511528238439883,4.035887015266904,93.2,6.511528238439883,4.035887015266904,0.0,0.0,0.0,1.0,0.0,0.0,40.44822700386764,1.7904617619279912,1.1097396973015978,63.6903818096748,4.914843492511703,3.046251556800364,0.29922999295866926,0.04556002265664124,0.028238394601396915,0.7007700070413307,0.045560022656641254,0.028238394601396922,0.78,0.04684489774185067,0.029034768429897596,0.7298500889884472,0.0402455862651729,0.024944472799880178,0.9335102082461951,0.05540091103160808,0.03433784040841311,0.5983333333333334,0.03944053188733077,0.02444549492692308,0.5116938330845122,0.03533655513077411,0.021901823779961638,0.9842891991758996,0.0014164879301828267,0.0008779483149529987,0.6352742930427372,0.027753904060477026,0.017202047955408983,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.5280551746720791,0.016956442427050827,0.010509711900266849
Seq-xQuAD-Tripartite + Greedy,seq_xquad_tripartite,load_aware,greedy,mnl_softmax,10,86.7,6.498717822257967,4.027947037056635,86.7,6.498717822257967,4.027947037056635,0.0,0.0,0.0,1.0,0.0,0.0,37.041588944685735,3.074809098546076,1.9057864238364868,58.9959005100975,6.306072269131455,3.908544086176017,0.21222005308066832,0.07459524433334515,0.04623461144318729,0.7877799469193316,0.07459524433334513,0.04623461144318728,0.6283333333333333,0.07138402490995922,0.04424427702407076,0.7201929709302635,0.030603521147702657,0.018968258924582652,0.9559571287949282,0.04482804821449754,0.027784712141860686,0.5625,0.05545129104910315,0.034369066266766446,0.5323142236676608,0.049055211368060056,0.03040473500871463,0.9892305439304485,0.0004726803078741408,0.0002929702900864138,0.6321372764515448,0.028765334666729748,0.017828939139957835,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.5503880087196256,0.019670621242086225,0.012191977358634637
Seq-xQuAD-Tripartite + Batch,seq_xquad_tripartite,load_aware,batch,mnl_softmax,10,86.7,6.498717822257967,4.027947037056635,86.7,6.498717822257967,4.027947037056635,0.0,0.0,0.0,1.0,0.0,0.0,35.89547445381452,3.0309738611290182,1.8786170622021074,57.025508313900374,6.352273583028548,3.9371799572062294,0.19537617359770124,0.05873942299643854,0.0364070715621124,0.8046238264022987,0.05873942299643852,0.036407071562112384,0.6216666666666666,0.07568616162633957,0.046910768986593895,0.7465062229034303,0.025443310256349157,0.015769927078379643,0.979692204590617,0.026852235121486687,0.016643187757052154,0.5541666666666666,0.04988412498907768,0.030918500993801477,0.5459980705413368,0.04297204789147548,0.026634351223544128,0.9892305439304485,0.0004726803078741408,0.0002929702900864138,0.6321372764515448,0.028765334666729748,0.017828939139957835,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.5530676649849469,0.01415493516341813,0.008773319708688164
Session-SPU-Tripartite + Batch,session_spu_tripartite,load_aware,batch,mnl_softmax,10,89.8,4.9396356140913875,3.0616178729554084,89.8,4.9396356140913875,3.0616178729554084,0.0,0.0,0.0,1.0,0.0,0.0,36.79396082582832,2.0118173838099995,1.246937333155508,58.38577261315286,4.020455979324992,2.491904432913522,0.19948391477135335,0.04626119245319267,0.02867298414378631,0.8005160852286467,0.04626119245319267,0.02867298414378631,0.6741666666666667,0.044348855539397186,0.027487705444748996,0.73515667600626,0.03873295006956806,0.02400693117261282,0.9726377252980016,0.04521103926315066,0.028022092453151935,0.5841666666666667,0.031044074602107796,0.019241316784589825,0.5206100453774747,0.027738113648307014,0.017192260956549566,0.9882292748497996,0.0005357604191708397,0.00033206774813029303,0.6503635074601932,0.029769231209936353,0.018451160663851527,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.5572475386763721,0.015803031261603692,0.009794820253416327
Session-SPU-Tripartite + Greedy,session_spu_tripartite,load_aware,greedy,mnl_softmax,10,89.8,4.9396356140913875,3.0616178729554084,89.8,4.9396356140913875,3.0616178729554084,0.0,0.0,0.0,1.0,0.0,0.0,38.136030801606026,2.1847205936673597,1.3541038529045617,60.48260754813613,4.540346188947829,2.81413572325711,0.21961041460237807,0.050167254797661355,0.03109398666724941,0.7803895853976219,0.05016725479766136,0.031093986667249416,0.6824999999999999,0.03756681290845371,0.02328415187192914,0.6872353830053178,0.036205441085195536,0.02244036487397022,0.9179396032534866,0.05374264201948365,0.03331003462630135,0.6066666666666667,0.031622776601683784,0.019599999999999992,0.4901485080848154,0.030007568976869008,0.018598883942256856,0.9882292748497996,0.0005357604191708397,0.00033206774813029303,0.6503635074601932,0.029769231209936377,0.01845116066385154,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.5566794009315162,0.018189229976012376,0.011273801539326556
KG-Tripartite + Batch,kg_tripartite,load_aware,batch,mnl_softmax,10,89.7,6.750308634919344,4.183884638307641,89.7,6.750308634919344,4.183884638307641,0.0,0.0,0.0,1.0,0.0,0.0,36.90184889044967,1.6805514623135747,1.0416165878233536,60.07927961521284,4.355969271704142,2.6998577259928265,0.21142760939850963,0.05365465806462322,0.03325550160609931,0.7885723906014903,0.05365465806462322,0.03325550160609931,0.6641666666666667,0.046655091156959455,0.028917125089759348,0.7421711683727324,0.04402596249503968,0.027287574262433074,0.9716800184644949,0.04020885769640791,0.024921708197111068,0.5758333333333333,0.035015428698126495,0.021702787554927615,0.5278953447131532,0.03147315141130299,0.019507261346199827,0.9877617800922265,0.0005500590817099015,0.00034093015098933505,0.6353847334530954,0.026787310005974875,0.016602946753548252,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,0.0,0.0,0.0,0.0,0.0,0.0,0.5500856316834375,0.018513294942228926,0.011474659086336079
KG-Tripartite + RouteMinETA,kg_tripartite,route_min_eta,route_batch,mnl_softmax,10,89.7,6.750308634919344,4.183884638307641,89.7,6.750308634919344,4.183884638307641,0.0,0.0,0.0,1.0,0.0,0.0,39.04214200927677,1.897599899228151,1.176144602776322,65.85110481812896,6.005108597962314,3.7220048701793718,0.3158024300766078,0.0669050161853755,0.04146815865509849,0.6841975699233922,0.06690501618537553,0.04146815865509851,1.1024999999999998,0.051974887098375576,0.03221436877474949,1.0688925397310116,0.0434345634777803,0.026921021353930204,1.0,0.0,0.0,0.3983333333333333,0.04002314145406195,0.02480660007754806,0.7063372244089912,0.026025164755311806,0.0161305642331531,0.9877617800922265,0.0005500590817099015,0.00034093015098933505,0.6353847334530954,0.02678731000597487,0.01660294675354825,24.99617642918211,0.2889108714918485,0.1790688133608962,9.888872870873902,0.13866191844642753,0.08594354745576857,27.79499686646335,2.0938895366223784,1.2978061804861682,0.4672585473511239,0.03290418776457208,0.020394226867202832,0.5159411873264574,0.019251556895548014,0.011932238585673391
