policy,recommender,rider_policy,assignment_mode,choice_model,n_seeds,completed_orders,completed_orders_std,completed_orders_ci95,total_orders,total_orders_std,total_orders_ci95,unassigned_orders,unassigned_orders_std,unassigned_orders_ci95,completion_rate,completion_rate_std,completion_rate_ci95,avg_eta,avg_eta_std,avg_eta_ci95,p95_eta,p95_eta_std,p95_eta_ci95,timeout_rate,timeout_rate_std,timeout_rate_ci95,on_time_rate,on_time_rate_std,on_time_rate_ci95,avg_rider_load,avg_rider_load_std,avg_rider_load_ci95,rider_load_std,rider_load_std_std,rider_load_std_ci95,rider_load_cv,rider_load_cv_std,rider_load_cv_ci95,active_rider_rate,active_rider_rate_std,active_rider_rate_ci95,rider_income_gini,rider_income_gini_std,rider_income_gini_ci95,merchant_exposure_gini,merchant_exposure_gini_std,merchant_exposure_gini_ci95,user_satisfaction,user_satisfaction_std,user_satisfaction_ci95,rider_speed_kmph,rider_speed_kmph_std,rider_speed_kmph_ci95,rider_service_minutes,rider_service_minutes_std,rider_service_minutes_ci95,avg_detour_minutes,avg_detour_minutes_std,avg_detour_minutes_ci95,enroute_pickup_share,enroute_pickup_share_std,enroute_pickup_share_ci95,platform_utility,platform_utility_std,platform_utility_ci95
Popular + Nearest,popular,nearest,greedy,mnl_softmax,3,79.33333333333333,2.8867513459481287,3.2666666666666666,79.33333333333333,2.8867513459481287,3.2666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,57.8197746111434,1.7616139708431624,1.9934538685380305,107.08539407716194,8.670951401241897,9.812105206248857,0.6209659952350011,0.038426417212293854,0.04348358455016102,0.37903400476499893,0.038426417212293854,0.04348358455016102,0.9805555555555556,0.04738533919231112,0.053621559143112195,0.969577911653043,0.019081953854288847,0.02159326354109786,1.0,0.0,0.0,0.3888888888888889,0.004811252243246865,0.005444444444444425,0.726247321170657,0.008669122295607946,0.009810035378373787,0.999731376851519,0.0,0.0,0.4572368421052633,0.012534578212669562,0.014184210526315853,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.37805970542808764,0.014530356998539584,0.016442646828075256
UserOnly + MinETA,useronly,min_eta,greedy,mnl_softmax,3,86.33333333333333,7.023769168568492,7.948143039589674,86.33333333333333,7.023769168568492,7.948143039589674,0.0,0.0,0.0,1.0,0.0,0.0,42.68231606024555,1.0118902837947152,1.1450616503689215,64.16213858174784,5.343140475012119,6.046332639469815,0.38272091666158214,0.052922010588304175,0.05988689263605874,0.6172790833384179,0.052922010588304154,0.05988689263605871,0.9388888888888888,0.08552669065744811,0.09678256143299202,0.612582795953172,0.055860733952715784,0.06321237117807182,0.8497102758219262,0.13184321047025974,0.14919463758942472,0.6305555555555555,0.07876359377087683,0.08912939684927781,0.4553166155273756,0.0781342745397447,0.08841725509937713,0.9900636675991547,0.0008929766500705233,0.0010104982062246032,0.61553546760035,0.03833345608627025,0.04337838913313858,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.5055870141795471,0.01804297330077331,0.02041754636467809
Seq-Tuned + MinETA,seq_tuned,min_eta,greedy,mnl_softmax,3,83.0,2.6457513110645907,2.9939494540378155,83.0,2.6457513110645907,2.9939494540378155,0.0,0.0,0.0,1.0,0.0,0.0,41.187249058846284,2.1278819889783005,2.407925148715141,64.15690266279175,10.649179350481752,12.050680866712518,0.28828059167757913,0.1049858789777657,0.11880270595828811,0.7117194083224209,0.1049858789777657,0.11880270595828811,0.8638888888888889,0.02097176232019651,0.02373178313705476,0.637845901822899,0.028377758552919907,0.03211245681747197,0.9230715311000665,0.05706117532990541,0.06457079847651476,0.5944444444444444,0.029265704869035392,0.03311726266495699,0.4931066698559314,0.02881887220019703,0.03261162390014935,0.9892172792599551,0.0005208602034159667,0.0005894088061586484,0.6362623684376381,0.047097570807728605,0.05329591856067836,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.5318916696071359,0.029869706565602304,0.03380075492748062
Logistic-LTR + MinETA,learned_ltr,min_eta,greedy,mnl_softmax,3,96.66666666666667,6.6583281184793925,7.534607561851586,96.66666666666667,6.6583281184793925,7.534607561851586,0.0,0.0,0.0,1.0,0.0,0.0,42.367361858572,1.4211180720942407,1.6081464868887496,66.5649257022706,2.110164100770388,2.387875470763574,0.3550487633032966,0.04199111667486545,0.04751742173098084,0.6449512366967034,0.04199111667486542,0.04751742173098081,1.0722222222222222,0.10875984416917718,0.12307334960386854,0.6171539208558805,0.04715107236306357,0.05335646126993278,0.7675195053294499,0.05992449594116892,0.06781095077086556,0.6916666666666668,0.038188130791298645,0.043213938080721624,0.41039077513782707,0.04074758507270041,0.04611023325267949,0.9845313235119484,0.0021642543307537135,0.002449084328092721,0.6215636147884451,0.03545889960431846,0.040125522254173505,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.5244446256463852,0.016379932947857733,0.01853563904563722
Seq-xQuAD-Tripartite + Greedy,seq_xquad_tripartite,load_aware,greedy,mnl_softmax,3,86.66666666666667,8.504900548115383,9.624200976935409,86.66666666666667,8.504900548115383,9.624200976935409,0.0,0.0,0.0,1.0,0.0,0.0,36.25106077118101,1.672773499412018,1.89292141115045,55.39780505093447,4.075078316908392,4.6113852239423005,0.19958261571164795,0.013721077871951644,0.015526861285768476,0.8004173842883521,0.01372107787195167,0.015526861285768506,0.7388888888888889,0.08753306253660403,0.09905298494826134,0.6258001586300108,0.011431825419612794,0.012936328267350816,0.8714969132359295,0.07722580568262878,0.08738922581053285,0.625,0.050689687752485175,0.057360781543309376,0.4667399994821048,0.04033497920831283,0.04564332576320765,0.9891400313666435,0.0007376638338442799,0.0008347452095612349,0.6061230585424134,0.0083166158544648,0.009411136788551046,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.5561352838935195,0.00796052758362919,0.009008184976867518
Seq-xQuAD-Tripartite + Batch,seq_xquad_tripartite,load_aware,batch,mnl_softmax,3,86.66666666666667,8.504900548115383,9.624200976935409,86.66666666666667,8.504900548115383,9.624200976935409,0.0,0.0,0.0,1.0,0.0,0.0,34.93072956167925,1.3124511429816854,1.485178280569468,51.81350989618414,4.38211979175224,4.958835361123112,0.1602833247994538,0.028819319194174523,0.03261212972145208,0.8397166752005463,0.02881931919417459,0.03261212972145216,0.7416666666666667,0.07406828681096327,0.08381615684429915,0.6723147100124948,0.03500724442645603,0.03961442630667478,0.9281191914122133,0.06794292616327607,0.07688465875140069,0.6055555555555555,0.048112522432468774,0.0544444444444444,0.49090367408126045,0.03918315516110817,0.044339914152730774,0.9891400313666435,0.0007376638338442799,0.0008347452095612349,0.6061230585424134,0.008316615854464778,0.00941113678855102,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.5622628433495493,0.008997925211876753,0.010182110904721322
Session-SPU-Tripartite + Batch,session_spu_tripartite,load_aware,batch,mnl_softmax,3,89.66666666666667,4.041451884327381,4.573333333333334,89.66666666666667,4.041451884327381,4.573333333333334,0.0,0.0,0.0,1.0,0.0,0.0,37.42023940821821,1.362003864662786,1.5412524638847254,57.994339589585394,4.573463234926159,5.1753608504344095,0.20132139812446717,0.05255837444870237,0.05947539960680983,0.7986786018755329,0.05255837444870236,0.059475399606809816,0.8027777777777777,0.061425956631933294,0.06951001348948685,0.6342087764411178,0.06209945110538701,0.07027214423195746,0.8475865934353726,0.05074253765512485,0.05742058683812007,0.6472222222222223,0.004811252243246865,0.005444444444444425,0.4431843556203479,0.021927911376972347,0.024813767651072034,0.9880105284082775,0.0008168713240398574,0.0009243769225022875,0.6344352088661553,0.01661638660756709,0.018803211550441994,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.5652521441744199,0.01384620911961158,0.01566846062242865
Session-SPU-Tripartite + Greedy,session_spu_tripartite,load_aware,greedy,mnl_softmax,3,89.66666666666667,4.041451884327381,4.573333333333334,89.66666666666667,4.041451884327381,4.573333333333334,0.0,0.0,0.0,1.0,0.0,0.0,38.85009669090791,1.1974747988926582,1.3550702990773995,60.67677114661429,5.725524859130356,6.479041304594778,0.2423699914748508,0.026746016735166675,0.030265967125125484,0.7576300085251493,0.02674601673516666,0.03026596712512547,0.813888888888889,0.06472877887628357,0.07324750870073465,0.6043448631127587,0.03170325394179757,0.03587560910706843,0.8086336630070781,0.010143837029491952,0.01147883219760203,0.6583333333333333,0.008333333333333304,0.009430054396763855,0.4292783128357563,0.005938956939118858,0.006720562439511502,0.9880105284082775,0.0008168713240398574,0.0009243769225022875,0.6344352088661552,0.01661638660756703,0.018803211550441925,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.5568328592121342,0.007309837382320076,0.008271859697613175
KG-Tripartite + Batch,kg_tripartite,load_aware,batch,mnl_softmax,3,90.33333333333333,8.736894948054106,9.886727354275418,90.33333333333333,8.736894948054106,9.886727354275418,0.0,0.0,0.0,1.0,0.0,0.0,38.2617136891977,0.6599833038799393,0.7468414147852535,58.45614787973179,2.701191426380547,3.0566858504208954,0.23069550930996716,0.043648939860778585,0.049393425269786115,0.7693044906900329,0.043648939860778564,0.04939342526978609,0.811111111111111,0.07876359377087683,0.08912939684927781,0.6262315081474926,0.04766529805119042,0.05393836241528273,0.8367944863452258,0.09827871031585478,0.11121283011867729,0.6527777777777778,0.055486067653994935,0.06278839634876322,0.43814433693370997,0.04906166238054202,0.055518497405301084,0.9873738025472686,0.0007860414050136048,0.0008894895848864409,0.6085110441767071,0.01973931169424298,0.022337133963766662,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,0.0,0.0,0.0,0.0,0.0,0.0,0.5511335892345737,0.01171410045484981,0.013255752539806837
KG-Tripartite + RouteMinETA,kg_tripartite,route_min_eta,route_batch,mnl_softmax,3,90.33333333333333,8.736894948054106,9.886727354275418,90.33333333333333,8.736894948054106,9.886727354275418,0.0,0.0,0.0,1.0,0.0,0.0,38.196312255441704,1.5634749551626441,1.7692384650194057,63.536912784680936,6.580235155026693,7.446237054647972,0.25880430814165756,0.06161451276066315,0.06972338483557874,0.7411956918583424,0.061614512760663175,0.06972338483557877,2.069444444444444,0.06472877887628359,0.07324750870073467,1.079744091098873,0.09174173862317353,0.10381555028042651,1.0,0.0,0.0,0.3972222222222222,0.026787918780536005,0.030313383753185697,0.7076031250433753,0.015046619494949776,0.017026852838974125,0.9873738025472686,0.0007860414050136048,0.0008894895848864409,0.6085110441767069,0.01973931169424301,0.022337133963766694,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,27.077916742813205,1.7413333714065422,1.9705042098316738,0.4638992332968237,0.029548330684359907,0.03343708388244977,0.526380398219589,0.013638735873867363,0.015433682543239714
KG-Tripartite + RouteBatch,kg_tripartite,route_insertion,route_batch,mnl_softmax,3,90.33333333333333,8.736894948054106,9.886727354275418,90.33333333333333,8.736894948054106,9.886727354275418,0.0,0.0,0.0,1.0,0.0,0.0,40.990630282045835,1.8558578884007457,2.100100900833888,65.52186681325827,3.7520245323776753,4.245815452597688,0.37396495071193864,0.06988144682090341,0.07907830138148185,0.6260350492880613,0.06988144682090343,0.07907830138148186,2.3222222222222224,0.04882887730901937,0.05525507629883551,1.22609736929092,0.047067627163768076,0.05326203413771215,1.0,0.0,0.0,0.2916666666666667,0.02886751345948128,0.032666666666666656,0.7559743505978473,0.022487444637874904,0.02544693914152521,0.9873738025472686,0.0007860414050136048,0.0008894895848864409,0.6085110441767069,0.01973931169424301,0.022337133963766694,25.078251761834462,0.1389632765100393,0.15725175079706546,10.179819374255368,0.15949018135210025,0.1804801303080051,19.59970139463276,0.3314339867930931,0.37505286292742307,0.6124698795180722,0.011495926939056524,0.013008865965183167,0.4918322054485049,0.016142420251882214,0.018266868128480676
