policy,model,Recall@20,NDCG@20,ExposureGini,Coverage@20,avg_eta,timeout_rate,on_time_rate,user_satisfaction,platform_utility,is_frontier
Seq-xQuAD-Tripartite,Seq-xQuAD-Tripartite,0.418,0.3439593480094333,0.8881545467948776,0.2847478474784747,50.33476760420509,0.5319148936170213,0.4680851063829787,0.847872340425532,0.5263841664010389,True
Seq-Tripartite,Seq-Tripartite,0.4266111111111111,0.3470215092461363,0.8848043744439894,0.2841328413284132,52.14988857733068,0.6363636363636364,0.3636363636363636,0.8625,0.4963040932656992,True
Ours-Balanced,Ours-Balanced,0.4096666666666667,0.3345928848756587,0.8769360347796803,0.284440344403444,50.97639607095896,0.6344086021505376,0.3655913978494624,0.7989247311827957,0.4875451703405223,True
Seq-Hybrid + MinETA,Seq-Hybrid,0.4440555555555555,0.3512969228864933,0.9197563905701892,0.2739852398523985,52.49042913346111,0.6666666666666666,0.3333333333333333,0.8580645161290323,0.4850889635904998,True
UserOnly + MinETA,UserOnly,0.4287222222222222,0.3423445176309438,0.8856740408881537,0.2841328413284132,55.333198191446165,0.6701030927835051,0.3298969072164949,0.8582474226804125,0.4831274760388374,True
Seq-Hybrid + LoadAware,Seq-Hybrid,0.4440555555555555,0.3512969228864933,0.9197563905701892,0.2739852398523985,56.132346887053664,0.6421052631578947,0.3578947368421052,0.8031578947368422,0.4762660827161065,True
Seq-xQuAD + MinETA,Seq-xQuAD,0.4447222222222223,0.3537581233090149,0.9140604108057908,0.2785977859778598,53.61422804220391,0.7596153846153846,0.2403846153846154,0.8307692307692307,0.4582225920749676,True
Ours-Full,Ours-Full,0.4054761904761905,0.3320432500222579,0.889012167379478,0.2810578105781058,50.84713044584078,0.5714285714285714,0.4285714285714286,0.8972527472527473,0.524599625793214,False
Ours w/o Fairness,UserOnly,0.4287222222222222,0.3423445176309438,0.8856740408881537,0.2841328413284132,56.16941979355355,0.7684210526315789,0.2315789473684211,0.7857894736842106,0.4358785839615067,False
UserOnly + Nearest,UserOnly,0.4287222222222222,0.3423445176309438,0.8856740408881537,0.2841328413284132,86.53901879083301,0.872093023255814,0.127906976744186,0.8401162790697675,0.3998402992619906,False
Popular + Nearest,Popular,0.047,0.0210370789200092,0.9952190189306824,0.006150061500615,84.70804794408068,0.7903225806451613,0.2096774193548387,0.4943548387096774,0.3365322289561431,False
